,DRILL_BIT_ID,DRILL_BIT_NAME,BIT_DEPTH_min,BIT_DEPTH_max,BIT_DEPTH_mean,RATE_OF_PENETRATION_mean,HOOK_LOAD_mean,total_depth,total_hours,CPR,CPF,CPH,cost
4,1,AstroBit,111.26,12982.5,5089.340237383186,406.2728352730049,115.87925277354775,12871.24,31.68127150650094,3000,1.0,1500,63393.14725975141
0,1,Apollo,117.3,10989.0,4255.993222893856,354.29665208029473,117.89451552407307,10871.7,30.685302658564588,1000,4.0,2500,121200.05664641147
15,1,ChallengDriller,147.13,13938.62,6234.106534081387,352.4914911454943,118.10215354018152,13791.490000000002,39.12573876657757,10000,0.0,0,10000.0
8,1,Buzz Drilldrin,153.59,19424.51,6531.690410221468,329.19781805696266,133.39890824538608,19270.92,58.53902712279053,5000,1.5,0,33906.38
9,2,Buzz Drilldrin,3096.63,14203.01,7367.417219600965,325.9672339108924,158.9755027846539,11106.380000000001,34.072074873133054,5000,1.5,0,21659.57
10,3,Buzz Drilldrin,7448.54,14506.53,11702.409955791381,255.39683465959334,148.26784703801982,7057.990000000001,27.635385573228696,5000,1.5,0,15586.985
1,2,Apollo,4135.04,13959.04,8838.391561633971,245.48281112272204,156.02291789722497,9824.0,40.01909524772704,1000,4.0,2500,140343.7381193176
3,4,Apollo,6889.0,19337.05,9377.829204979314,235.1003626556014,188.89867717842367,12448.05,52.94781283785237,1000,4.0,2500,183161.7320946309
5,2,AstroBit,5523.02,14318.52,10113.38054246546,207.87905637524662,167.06957131321934,8795.5,42.31065963722227,3000,1.0,1500,75261.4894558334
6,3,AstroBit,7077.07,17206.6,11503.14873559547,196.54265685019192,184.8734122919334,10129.529999999999,51.5385828315168,3000,1.0,1500,90437.40424727519
16,2,ChallengDriller,2289.05,17876.5,11087.20448415803,187.33499267632348,168.8490694156974,15587.45,83.20629145315058,10000,0.0,0,10000.0
2,3,Apollo,4391.02,20974.52,14419.881377139267,185.52569333013028,175.08948431592418,16583.5,89.38654103553623,1000,4.0,2500,290800.3525888405
11,4,Buzz Drilldrin,9343.07,17263.0,14093.851602975194,158.1434983329057,156.75547576301616,7919.93,50.08065512328471,5000,1.5,0,16879.895
17,3,ChallengDriller,8332.25,19075.01,14705.88239274779,155.1091813153049,155.9228844499076,10742.759999999998,69.25934305695411,10000,0.0,0,10000.0
19,5,ChallengDriller,17264.5,19506.52,18407.420557116184,152.5452247191013,142.278511235955,2242.0200000000004,14.697411892954921,10000,0.0,0,10000.0
14,7,Buzz Drilldrin,17023.01,18043.01,17532.98015732534,129.8612586037364,181.09400196656813,1020.0,7.854536533582098,5000,1.5,0,6530.0
7,4,AstroBit,14214.55,23160.56,18612.791701347505,119.85712816268682,173.5835829983442,8946.010000000002,74.63894836406583,3000,1.0,1500,123904.43254609875
18,4,ChallengDriller,11201.04,20724.53,16614.5384146075,119.26940770429715,165.87767312402636,9523.489999999998,79.84855616631755,10000,0.0,0,10000.0
13,6,Buzz Drilldrin,14513.01,17022.56,15766.369940024031,115.33338664534213,181.8851259496202,2509.550000000001,21.759093988257145,5000,1.5,0,8764.325
12,5,Buzz Drilldrin,10274.55,22452.51,14307.596812248916,111.54609485478063,183.59947786359206,12177.96,109.17423882794115,5000,1.5,0,23266.94
